,doc_length
1961,2926
1962,3171
1963,814
1964,1415
1965,683
1966,2855
1967,3468
1968,3116
1969,404
1970,915
1971,4742
1972,736
1973,3154
1974,1220
1975,3444
1976,2937
1977,2482
1978,1746
1979,4073
1980,2474
1981,3798
1982,918
1983,592
1984,5194
1985,1065
1986,5098
1987,835
1988,2670
1989,2799
1990,6263
1991,3312
1992,4255
1993,3130
1994,812
1995,3222
1996,2116
1997,3129
1998,2453
1999,3222
2000,3081
2001,2483
2002,1379
2003,5314
2004,1794
2005,3915
2006,3971
2007,1258
2008,2945
2009,2867
2010,3089
2011,1831
2012,884
2013,3751
2014,3301
2015,1245
2016,1720
2017,4974
2018,3335
2019,6143
2020,1808
2021,2848
2022,2239
2023,6924
2024,3063
2025,3391
2026,4947
2027,2635
2028,1893
2029,915
2030,2703
2031,2715
2032,4516
2033,1118
2034,1220
2035,2411
2036,3226
2037,2141
2038,3840
2039,5901
2040,1578
2041,4400
2042,1702
2043,3578
2044,4735
2045,3798
2046,2723
2047,4962
2048,4179
2049,531
2050,997
2051,4818
2052,785
2053,2584
2054,911
2055,725
2056,843
2057,2000
2058,1654
2059,1588
2060,785
2061,2216
2062,2857
2063,2857
2064,1148
2065,719
2066,1612
2067,1844
2068,3993
2069,1019
2070,676
2071,2175
2072,873
2073,2945
2074,449
2075,1456
2076,1720
2077,2344
2078,2216
2079,3340
2080,764
2081,432
2082,3148
2083,2916
2084,3217
2085,1174
2086,1258
2087,1567
2088,2422
2089,2758
2090,3686
2091,970
2092,4430
2093,952
2094,4324
2095,3970
2096,2480
2097,1260
2098,1720
2099,717
2100,1746
2101,3328
2102,843
2103,2451
2104,3193
2105,5188
2106,2220
2107,667
2108,2799
2109,3685
2110,667
2111,2750
2112,1256
2113,548
2114,2537
2115,6058
2116,4066
2117,3241
2118,5085
2119,3926
2120,4696
2121,2294
2122,1672
2123,508
2124,2537
2125,2581
2126,911
2127,2609
2128,2000
2129,2018
2130,2855
2131,2590
2132,1597
2133,4844
2134,1441
2135,2742
2136,7248
2137,3444
2138,1640
2139,1454
2140,4046
2141,1704
2142,2843
2143,201
2144,624
2145,3876
2146,3130
2147,5390
2148,2256
2149,1714
2150,719
2151,3951
2152,2512
2153,1150
2154,4055
2155,1036
2156,2294
2157,6428
2158,2936
2159,1640
2160,4742
2161,594
2162,1456
2163,2845
2164,2843
2165,4392
2166,1087
2167,3625
2168,1697
2169,1918
2170,5283
2171,2302
2172,4808
2173,7028
2174,2965
2175,2528
2176,1179
2177,4601
2178,3637
2179,1698
2180,863
2181,1918
2182,1289
2183,2359
2184,1058
2185,3335
2186,3168
2187,347
2188,2875
2189,1511
2190,884
2191,2727
2192,573
2193,1246
2194,1550
2195,1379
2196,3318
2197,852
2198,4169
2199,652
2200,2739
2201,1355
2202,1508
2203,1508
2204,2990
2205,3876
2206,3985
2207,6143
2208,1260
2209,3157
2210,911
2211,663
2212,3869
2213,918
2214,1078
2215,1400
2216,785
2217,237
2218,989
2219,1702
2220,1823
2221,1258
2222,1580
2223,1942
2224,2758
2225,5547
2226,2269
2227,1542
2228,683
2229,974
2230,941
2231,1220
2232,1672
2233,1917
2234,3686
2235,3564
2236,2596
2237,1342
2238,6444
2239,3970
2240,753
2241,2406
2242,4116
2243,2127
2244,4808
2245,3686
2246,5387
2247,3939
2248,9628
2249,2000
2250,2000
2251,814
2252,790
2253,1588
2254,2120
2255,2596
2256,915
2257,4138
2258,1514
2259,3640
2260,835
2261,2926
2262,2588
2263,232
2264,4848
2265,1200
2266,1550
2267,2239
2268,4430
2269,3753
2270,2366
2271,1084
2272,1932
2273,4179
2274,1222
2275,3256
2276,1644
2277,3168
2278,2857
2279,2324
2280,2395
2281,1200
2282,5719
2283,3942
2284,7219
2285,2280
2286,592
2287,1157
2288,1751
2289,970
2290,4269
2291,1324
2292,974
2293,2256
2294,3018
2295,2635
2296,831
2297,3589
2298,2841
2299,2945
2300,1972
2301,1588
2302,2758
2303,2239
2304,4324
2305,2926
2306,653
2307,4342
2308,6143
2309,5606
2310,3942
2311,1796
2312,592
2313,1373
2314,622
2315,3546
2316,586
2317,2418
2318,2715
2319,3444
2320,3391
2321,3190
2322,1659
2323,2495
2324,3902
2325,2361
2326,1457
2327,735
2328,2777
2329,1794
2330,1022
2331,1526
2332,2467
2333,1794
2334,508
2335,1895
2336,3222
2337,1289
2338,1278
2339,2867
2340,2537
2341,6924
2342,5972
2343,2439
2344,1794
2345,3226
2346,760
2347,596
2348,5098
2349,1751
2350,1051
2351,1726
2352,1415
2353,1720
2354,805
2355,1286
2356,1220
2357,3523
2358,3335
2359,2971
2360,3604
2361,1588
2362,531
2363,556
2364,1100
2365,2938
2366,3008
2367,2562
2368,2482
2369,835
2370,3099
2371,2750
2372,4294
2373,2512
2374,736
2375,2672
2376,3236
2377,3391
2378,2040
2379,1283
2380,1446
2381,3970
2382,1179
2383,3301
2384,703
2385,887
2386,3723
2387,2780
2388,3827
2389,1000
2390,1342
2391,4833
2392,2003
2393,915
2394,730
2395,5565
2396,3840
2397,2758
2398,667
2399,1457
2400,4720
2401,5141
2402,1256
2403,887
2404,6924
2405,596
2406,1647
2407,4971
2408,1019
2409,2127
2410,548
2411,3754
2412,3644
2413,1395
2414,2467
2415,3659
2416,3235
2417,975
2418,2280
2419,596
2420,2926
2421,4629
2422,4421
2423,587
2424,4659
2425,1647
2426,1220
2427,6143
2428,2456
2429,2841
2430,2433
2431,915
2432,499
2433,2855
2434,2254
2435,2405
2436,947
2437,2411
2438,1896
2439,1699
2440,2843
2441,982
2442,1720
2443,7248
2444,653
2445,2926
2446,2648
2447,3512
2448,1772
2449,3180
2450,926
2451,4696
2452,3676
2453,1148
2454,7248
2455,2809
2456,890
2457,1019
2458,1456
2459,775
2460,1578
2461,361
2462,4720
2463,1018
2464,667
2465,622
2466,1753
2467,2655
2468,4073
2469,2671
2470,2484
2471,1293
2472,2451
2473,970
2474,6026
2475,4079
2476,812
2477,3475
2478,1770
2479,1621
2480,1661
2481,1721
2482,703
2483,5956
2484,3546
2485,3429
2486,843
2487,1654
2488,1454
2489,541
2490,1328
2491,2926
2492,1751
2493,1427
2494,1831
2495,2280
2496,2521
2497,2280
2498,354
2499,388
2500,3632
2501,3625
2502,2916
2503,624
2504,869
2505,1058
2506,1770
2507,2405
2508,1142
2509,586
2510,1800
2511,3564
2512,1277
2513,2635
2514,4034
2515,2596
2516,3625
2517,717
2518,663
2519,287
2520,3226
2521,4642
2522,237
2523,1454
2524,1065
2525,2162
2526,7031
2527,1024
2528,3171
2529,1221
2530,1033
2531,3107
2532,2537
2533,2753
2534,1673
2535,2446
2536,2583
2537,1361
2538,3016
2539,930
2540,757
2541,1770
2542,823
2543,709
2544,1831
2545,1640
2546,835
2547,175
2548,4400
2549,2936
2550,1415
2551,1454
2552,4324
2553,237
2554,1427
